Geneid	AEC.mock.I	AEC.mock.II	AEC.mock.III	AEC.WSN.I	AEC.WSN.II	AEC.WSN.III	AEC.WSN.PP1.I	AEC.WSN.PP1.II	AEC.WSN.PP1.III	AM.mock.I	AM.mock.II	AM.mock.III	AM.WSN.I	AM.WSN.II	AM.WSN.III	AM.WSN.PP1.I	AM.WSN.PP1.II	AM.WSN.PP1.III
ENSMUSG00000000555	10598	9741	19274	11134	10513	11337	8465	4434	3848	1529	3852	1289	1444	1713	1274	268	175	331
ENSMUSG00000000560	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000561	197	185	363	81	72	80	371	176	161	110	217	110	25	35	71	33	30	21
ENSMUSG00000000562	0	0	0	1	0	0	0	0	0	11	7	8	0	1	2	1	1	2
ENSMUSG00000000563	1107	1063	2233	749	801	882	3700	1890	1709	1671	2018	1422	771	899	1993	1111	1009	1381
ENSMUSG00000000567	181	165	319	50	34	53	171	73	92	15	38	18	3	4	9	7	2	6
ENSMUSG00000000568	290	248	515	187	164	206	909	521	500	445	715	475	200	254	555	297	214	293
ENSMUSG00000000579	62	31	53	9	32	35	31	10	15	17	59	17	12	9	36	9	38	40
ENSMUSG00000000581	283	268	528	142	180	173	498	243	203	461	488	285	91	125	199	182	136	186
ENSMUSG00000000594	615	585	1262	562	597	635	2229	959	870	1450	2959	938	778	831	3647	1675	1517	2010
ENSMUSG00000000600	266	237	540	123	139	162	335	176	164	144	159	248	60	95	70	62	16	35
ENSMUSG00000000605	550	518	1022	400	422	448	289	154	136	504	674	429	141	145	407	323	210	364
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	47	38	67	13	12	16	28	11	15	0	0	0	1	0	1	0	0	1
ENSMUSG00000000628	346	316	567	295	305	325	902	449	433	611	1459	752	268	313	496	289	207	305
ENSMUSG00000000631	885	787	1520	223	205	207	257	177	129	102	346	403	77	74	143	44	39	67
ENSMUSG00000000632	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
ENSMUSG00000000673	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0
ENSMUSG00000000682	0	1	2	1	1	1	13	2	2	1953	3132	4385	3521	4136	2780	1015	1208	1539
ENSMUSG00000000686	36	14	3	7	11	5	7	16	14	8	3	33	20	16	2	7	3	8
ENSMUSG00000000690	24	25	35	22	15	21	39	31	25	0	0	3	1	0	1	0	1	0
ENSMUSG00000000693	256	238	300	699	607	630	551	422	416	508	946	400	307	410	818	303	189	289
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	32	31	74	9	9	19	107	49	37	0	0	0	0	0	0	0	1	0
ENSMUSG00000000708	552	509	1174	429	452	521	461	286	222	456	577	510	71	95	236	101	74	138
ENSMUSG00000000711	870	828	1741	435	387	399	2339	1126	1006	990	1501	684	254	288	577	459	321	462
ENSMUSG00000000724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000000730	3	1	6	5	7	9	16	9	11	5	14	31	17	12	7	6	5	8
ENSMUSG00000000731	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000732	2	2	7	2	5	4	28	13	16	423	913	109	32	47	168	95	56	92
ENSMUSG00000000738	601	565	1193	561	561	591	1091	486	510	292	557	363	215	256	439	213	191	235
ENSMUSG00000000739	0	0	2	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0
ENSMUSG00000000740	882	853	1819	1091	1182	1259	4577	1925	1982	907	1457	946	1132	1261	2458	1417	1278	1636
ENSMUSG00000000743	946	966	1933	574	505	594	1152	543	465	978	1490	785	372	411	764	438	433	500
ENSMUSG00000000751	527	482	1043	257	267	274	1773	858	805	140	231	285	164	215	112	106	66	87
ENSMUSG00000000753	630	630	1255	787	746	879	3152	1632	1401	386	883	449	406	599	625	184	142	185
ENSMUSG00000000759	189	188	371	101	107	120	162	80	92	85	163	219	79	82	50	47	31	58
ENSMUSG00000000766	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000000776	178	170	358	92	92	109	285	150	154	43	135	97	45	40	35	19	10	19
ENSMUSG00000000782	25	21	38	16	18	17	76	28	32	1	17	10	10	18	8	2	5	4
ENSMUSG00000000787	4570	4203	8948	2278	2410	2596	4353	2246	2009	1358	2127	1818	841	993	1853	605	454	754
ENSMUSG00000000791	2	2	1	4	1	5	3	1	2	176	364	64	56	41	155	73	75	152
ENSMUSG00000000792	9	12	33	6	4	3	14	2	2	0	0	1	0	3	0	0	0	0
ENSMUSG00000000794	28	23	45	11	9	10	15	7	9	1	1	1	1	1	5	7	4	4
ENSMUSG00000000804	601	553	1183	268	297	348	787	443	405	239	465	315	145	191	180	82	57	86
ENSMUSG00000000805	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	1	0	0
ENSMUSG00000000811	54	50	118	23	25	23	92	41	52	14	41	27	16	18	20	9	5	12
ENSMUSG00000000817	0	0	0	0	0	0	0	0	0	0	1	1	0	4	2	0	3	0
ENSMUSG00000000823	216	228	418	56	73	98	98	50	50	11	41	95	8	25	13	6	4	5
ENSMUSG00000000826	2894	2813	5868	680	701	764	4495	2087	2117	993	1644	861	286	397	361	303	197	297
ENSMUSG00000000827	846	865	1711	345	339	356	1986	1031	955	355	492	399	154	155	212	207	161	226
ENSMUSG00000000838	478	471	960	466	471	492	889	459	452	536	591	334	142	146	444	178	108	175
ENSMUSG00000000861	2	7	9	1	1	1	2	1	1	1	1	4	2	3	0	0	0	3
ENSMUSG00000000869	8	9	12	4	5	1	9	3	5	4	5	11	3	1	4	1	2	3
ENSMUSG00000000876	162	138	298	70	57	77	362	167	179	38	64	76	21	16	36	27	19	24
ENSMUSG00000000881	276	273	542	138	146	154	783	422	376	81	150	75	22	22	21	15	15	35
ENSMUSG00000000884	61	61	112	16	21	38	176	73	71	7	10	11	5	6	7	17	4	7
ENSMUSG00000000889	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901	612	582	933	150	139	137	162	205	248	21	30	42	31	54	21	22	19	20
ENSMUSG00000000902	317	280	519	129	109	142	1300	681	631	224	411	242	68	84	138	119	94	138
ENSMUSG00000000903	0	0	0	0	1	1	0	0	1	0	0	0	0	4	0	0	1	1
ENSMUSG00000000915	274	262	416	103	104	119	52	78	81	73	7	85	86	120	5	31	27	28
ENSMUSG00000000916	79	76	68	65	67	98	107	56	82	43	43	93	41	51	24	31	14	23
ENSMUSG00000000934	46	54	128	30	42	36	81	54	49	11	17	20	14	10	9	8	2	3
ENSMUSG00000000938	2	0	0	0	0	0	1	0	0	44	25	38	2	8	7	7	1	7
ENSMUSG00000000942	38	48	73	26	22	21	141	42	77	0	2	1	0	1	0	1	1	0
ENSMUSG00000000948	3	4	1	3	4	4	0	1	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000000957	5276	5024	9364	4195	3875	4183	9030	4566	4599	1628	3706	1133	930	1080	3253	838	768	954
ENSMUSG00000000958	226	215	416	126	150	141	660	328	302	364	630	447	187	198	277	180	127	160
ENSMUSG00000000959	239	255	490	140	122	138	630	353	340	231	394	334	205	254	110	91	87	121
