cell_type,contrast,rank_direction,gene_label,log2FoldChange,padj,biotype,chromosome,gene_id,description
AEC,WSN vs mock,Downregulated,Ctr9,-2.41050534052061,9.52434008506728e-181,protein_coding,7,ENSMUSG00000005609,"CTR9 homolog, Paf1/RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:109345]"
AEC,WSN vs mock,Downregulated,Lurap1l,-3.32646265845131,4.81618523648e-173,protein_coding,4,ENSMUSG00000048706,leucine rich adaptor protein 1-like [Source:MGI Symbol;Acc:MGI:106510]
AEC,WSN vs mock,Downregulated,Rdh10,-2.89216249435585,2.15624127017036e-159,protein_coding,1,ENSMUSG00000025921,retinol dehydrogenase 10 (all-trans) [Source:MGI Symbol;Acc:MGI:1924238]
AEC,WSN vs mock,Downregulated,Gm73150,-2.17614723241825,9.27302714653956e-159,lncRNA,11,ENSMUSG00000131753,"predicted gene, 73150 [Source:MGI Symbol;Acc:MGI:7829058]"
AEC,WSN vs mock,Downregulated,Myh14,-2.60311625497447,8.987300418095659e-158,protein_coding,7,ENSMUSG00000030739,"myosin, heavy polypeptide 14 [Source:MGI Symbol;Acc:MGI:1919210]"
AEC,WSN_PP1 vs WSN,Downregulated,Ifit2,-6.31821459254241,0.0,protein_coding,19,ENSMUSG00000045932,interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449]
AEC,WSN_PP1 vs WSN,Downregulated,Ifit3,-6.03239343608885,0.0,protein_coding,19,ENSMUSG00000074896,interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055]
AEC,WSN_PP1 vs WSN,Downregulated,Gm46878,-5.90482192233933,0.0,lncRNA,4,ENSMUSG00000120951,"predicted gene, 46878 [Source:MGI Symbol;Acc:MGI:5826515]"
AEC,WSN_PP1 vs WSN,Downregulated,Gbp2,-5.84461313429933,0.0,protein_coding,3,ENSMUSG00000028270,guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]
AEC,WSN_PP1 vs WSN,Downregulated,Irf7,-5.82984015549415,0.0,protein_coding,7,ENSMUSG00000025498,interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]
AEC,WSN_PP1 vs WSN,Downregulated,Isg15,-5.81035898195405,0.0,protein_coding,4,ENSMUSG00000035692,ISG15 ubiquitin-like modifier [Source:MGI Symbol;Acc:MGI:1855694]
AEC,WSN_PP1 vs WSN,Downregulated,Usp18,-5.61216249605803,0.0,protein_coding,6,ENSMUSG00000030107,ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]
AEC,WSN_PP1 vs WSN,Downregulated,Cxcl10,-5.5299594067024,0.0,protein_coding,5,ENSMUSG00000034855,C-X-C motif chemokine ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]
AEC,WSN_PP1 vs WSN,Downregulated,Art3,-5.38396200985209,0.0,protein_coding,5,ENSMUSG00000034842,ADP-ribosyltransferase 3 [Source:MGI Symbol;Acc:MGI:1202729]
AEC,WSN_PP1 vs WSN,Downregulated,Oasl2,-4.62060731774831,0.0,protein_coding,5,ENSMUSG00000029561,2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390]
AM,WSN vs mock,Downregulated,Maf,-2.75726356977018,2.16488022869958e-20,protein_coding,8,ENSMUSG00000055435,MAF bZIP transcription factor [Source:MGI Symbol;Acc:MGI:96909]
AM,WSN vs mock,Downregulated,Samtor,-3.46550756055687,1.30013016996367e-14,protein_coding,6,ENSMUSG00000042742,S-adenosylmethionine sensor upstream of mTORC1 [Source:MGI Symbol;Acc:MGI:2141466]
AM,WSN vs mock,Downregulated,Pik3cg,-2.0949471194193,3.5341738623258e-14,protein_coding,12,ENSMUSG00000020573,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:MGI Symbol;Acc:MGI:1353576]"
