cell_type,biological_question,contrast,gene_label,gene_id,regulation,log2FoldChange,abs_log2FoldChange,padj,biotype,chromosome,description
AEC,Infection response,WSN vs mock,Ifi35,ENSMUSG00000010358,Upregulated,2.852,2.852,3.25e-128,protein_coding,11,interferon-induced protein 35
AEC,Infection response,WSN vs mock,Dtx3l,ENSMUSG00000049502,Upregulated,2.943,2.943,2.24e-126,protein_coding,16,"deltex 3-like, E3 ubiquitin ligase"
AEC,Infection response,WSN vs mock,Parp12,ENSMUSG00000038507,Upregulated,2.425,2.425,2.77e-125,protein_coding,6,"poly (ADP-ribose) polymerase family, member 12"
AEC,Infection response,WSN vs mock,Stat2,ENSMUSG00000040033,Upregulated,3.303,3.303,1.09e-124,protein_coding,10,signal transducer and activator of transcription 2
AEC,Infection response,WSN vs mock,Gbp3,ENSMUSG00000028268,Upregulated,8.737,8.737,1.82e-122,protein_coding,3,guanylate binding protein 3
AEC,Infection response,WSN vs mock,H2-T22,ENSMUSG00000056116,Upregulated,3.418,3.418,5.60e-121,protein_coding,17,"histocompatibility 2, T region locus 22"
AEC,Infection response,WSN vs mock,Myo1b,ENSMUSG00000018417,Downregulated,-2.171,2.171,9.97e-118,protein_coding,1,myosin IB
AEC,Infection response,WSN vs mock,Atf3,ENSMUSG00000026628,Upregulated,2.972,2.972,3.04e-117,protein_coding,1,activating transcription factor 3
AEC,Infection response,WSN vs mock,Edn1,ENSMUSG00000021367,Upregulated,2.242,2.242,4.00e-117,protein_coding,13,endothelin 1
AEC,Infection response,WSN vs mock,Wnt9a,ENSMUSG00000000126,Downregulated,-3.043,3.043,4.94e-117,protein_coding,11,"wingless-type MMTV integration site family, member 9A"
AEC,Infection response,WSN vs mock,Psmb10,ENSMUSG00000031897,Upregulated,3.84,3.84,2.89e-114,protein_coding,8,"proteasome (prosome, macropain) subunit, beta type 10"
AEC,Infection response,WSN vs mock,Serpinb2,ENSMUSG00000062345,Upregulated,3.463,3.463,1.06e-113,protein_coding,1,"serine (or cysteine) peptidase inhibitor, clade B, member 2"
AEC,Infection response,WSN vs mock,Gm44148,ENSMUSG00000107736,Upregulated,5.015,5.015,1.06e-112,lncRNA,6,44148
AEC,Infection response,WSN vs mock,Gm57251,ENSMUSG00000121233,Upregulated,2.586,2.586,4.81e-111,lncRNA,7,57251
AEC,Infection response,WSN vs mock,Enpp4,ENSMUSG00000023961,Upregulated,2.637,2.637,2.91e-110,protein_coding,17,ectonucleotide pyrophosphatase/phosphodiesterase 4
AEC,Infection response,WSN vs mock,Psmb8,ENSMUSG00000024338,Upregulated,4.66,4.66,2.99e-110,protein_coding,17,"proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)"
AEC,Infection response,WSN vs mock,Trim30a,ENSMUSG00000030921,Upregulated,7.546,7.546,3.23e-110,protein_coding,7,tripartite motif-containing 30A
AEC,Infection response,WSN vs mock,Lmo7,ENSMUSG00000033060,Downregulated,-2.843,2.843,3.50e-110,protein_coding,14,LIM domain only 7
AEC,Infection response,WSN vs mock,AI661453,ENSMUSG00000034382,Downregulated,-3.061,3.061,1.69e-107,protein_coding,17,expressed sequence AI661453
AEC,Infection response,WSN vs mock,Lgals8,ENSMUSG00000057554,Upregulated,2.247,2.247,2.61e-106,protein_coding,13,"lectin, galactose binding, soluble 8"
AEC,Infection response,WSN vs mock,Cxcl11,ENSMUSG00000060183,Upregulated,7.066,7.066,1.60e-104,protein_coding,5,chemokine (C-X-C motif) ligand 11
AEC,Infection response,WSN vs mock,Csrnp1,ENSMUSG00000032515,Upregulated,2.607,2.607,1.74e-104,protein_coding,9,cysteine-serine-rich nuclear protein 1
AEC,Infection response,WSN vs mock,Osbpl3,ENSMUSG00000029822,Downregulated,-2.933,2.933,2.28e-102,protein_coding,6,oxysterol binding protein-like 3
AEC,Infection response,WSN vs mock,Tjp2,ENSMUSG00000024812,Downregulated,-2.034,2.034,2.04e-101,protein_coding,19,tight junction protein 2
AEC,Infection response,WSN vs mock,Rsad2,ENSMUSG00000020641,Upregulated,8.896,8.896,3.08e-98,protein_coding,12,radical S-adenosyl methionine domain containing 2
AEC,Infection response,WSN vs mock,Nampt,ENSMUSG00000020572,Upregulated,2.537,2.537,6.69e-98,protein_coding,12,nicotinamide phosphoribosyltransferase
AEC,Infection response,WSN vs mock,Shroom4,ENSMUSG00000068270,Downregulated,-3.227,3.227,7.94e-96,protein_coding,X,shroom family member 4
AEC,Infection response,WSN vs mock,Tnfaip2,ENSMUSG00000021281,Upregulated,3.024,3.024,1.97e-93,protein_coding,12,"tumor necrosis factor, alpha-induced protein 2"
AEC,Infection response,WSN vs mock,Iigp1,ENSMUSG00000054072,Upregulated,9.536,9.536,1.77e-92,protein_coding,18,interferon inducible GTPase 1
